위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,데일리샷floor_KRW,데일리샷용량_ml,데일리샷_₩100ml,데일리샷셀러,데일리샷매칭명,보유DB_KRW,국내최저_KRW(min),국내최저출처,면세더쌈_병당,절감_병당_KRW,면세더쌈_100ml,절감_100ml_%,구매가능,상품URL
아마하간 World Malt Editon Yamazakura 700ml,아마하간,95.4,144746,700,20678,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5232460
딘스톤 10년 700ml,딘스톤,27.09,41102,700,5872,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5228672
펄킨위스키 RARE INCHGOWER PX 700ml,펄킨 위스키,124.2,188443,700,26920,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5228763
더글라스랭 OP BLAIR ATHOL 12년 700ml,더글라스랭,68.85,104463,700,14923,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5228866
더글라스랭 SCALLYWAG 10년 700ml,더글라스랭,65.55,99456,700,14208,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5228864
더글라스랭 BIG PEAT 12년 700ml,더글라스랭,70.3,106663,700,15238,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5228863
더글라스랭 OP LEDAIG 13년 700ml,더글라스랭,126.35,191705,700,27386,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5228862
더글라스랭 OP AUCHROISK 12년 700ml,더글라스랭,49.5,75104,700,10729,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5228861
더글라스랭 DOUGLAS OP GLEN GARIOCH 12년 700ml,더글라스랭,106.4,161436,700,23062,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5228860
더글라스랭 OP GLENBURGIE 15년 700ml,더글라스랭,68.85,104463,700,14923,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5228859
글렌파클라스 35년 700ml,글렌파클라스,901.82,1368289,700,195470,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5226627
글렌파클라스 25년 700ml,글렌파클라스,223.02,338378,700,48340,430000,700,61429,국제상사,글렌파클라스 25년,,430000,데일리샷,Y,91622,Y,21.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5226626
카미키 사쿠라 750ml,카미키,95.2,144442,750,19259,120000,700,17143,알콜리크 주류할인점,카미키 사쿠라,,120000,데일리샷,N,-24442,N,-12.3,N,https://www.shilladfs.com/estore/kr/ko/p/5157329
카미키 오리지널 500ml,카미키,64.0,97104,500,19421,99000,700,14143,알콜리크 주류할인점,[단종특가] 카미키 오리지널,,99000,데일리샷,Y,1896,N,-37.3,N,https://www.shilladfs.com/estore/kr/ko/p/5157330
쿠라 클래식 700ml,쿠라,100.0,151725,700,21675,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157346
쿠라 럼 캐스크 700ml,쿠라,108.0,163863,700,23409,15900,1000,1590,황홀한막창앤뒷고기 진천직영점,쿠라다시 마로야카 블루베리슈 1L,,15900,데일리샷,N,-147963,N,-1372.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5157347
쿠라 8년 아와모리 700ml,쿠라,105.04,159372,700,22767,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157334
쿠라 12년 아와모리 700ml,쿠라,204.0,309520,700,44217,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157335
마르스 이와이 750ml,마르스,52.0,78897,750,10520,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157344
마르스 이와이 트레디션 750ml,마르스,41.5,62966,750,8395,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157345
마르스 몰티지 코스모 700ml,마르스,110.4,167505,700,23929,149900,700,21414,알코홀릭 드링크 서울이수점,마르스 몰티지 코스모 와인 캐스크 피니시 2023,,149900,데일리샷,N,-17605,N,-11.7,Y,https://www.shilladfs.com/estore/kr/ko/p/5157332
쿠라요시 셰리 700ml,마츠이,57.75,87621,700,12517,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157336
쿠라요시 12년 셰리 700ml,마츠이,74.25,112656,700,16094,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157349
쿠라요시 12년 몰트 700ml,마츠이,102.85,156049,700,22293,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157350
마츠이 미즈나라 캐스크 700ml,마츠이,76.0,115311,700,16473,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5157337
마츠이 사쿠라 캐스크 700ml,마츠이,76.0,115311,700,16473,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157338
마츠이 피트 700ml,마츠이,52.25,79276,700,11325,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157351
니카 테일러드 700ml,니카,108.0,163863,700,23409,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5157353
니카 더 세션 700ml,니카,40.81,61919,700,8846,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157340
수퍼 니카 700ml,니카,36.04,54682,700,7812,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157341
달모어 2008 빈티지 700ml,달모어,213.75,324313,700,46330,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5222079
짐빔 베이커스 BBN 750ml,짐빔,85.5,129725,750,17297,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5221867
타운브랜치 켄터키 싱글 몰트 7년 750ml,타운브랜치,27.6,41876,750,5583,82000,700,11714,세종리쿼,타운 브랜치 7년 켄터키 싱글몰트 위스키 700ml,,82000,데일리샷,Y,40124,Y,52.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5219708
타운브랜치 트루 케스크 버번 750ml,타운브랜치,46.9,71159,750,9488,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5219706
패터캐른 WH 14 700ml,패터캐른,81.0,122897,700,17557,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5219290
패터캐른 28년 700ml,패터캐른,881.6,1337610,700,191087,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5219286
패터캐른 16년 1000ml,패터캐른,118.75,180174,1000,18017,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5219285
패터캐른 12년 PX 1000ml,패터캐른,76.5,116070,1000,11607,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5219284
부쉬밀 포트캐스크 25년 700ml,부쉬밀,855.0,1297251,700,185322,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5200753
발베니 30년 Rare Marrige 700ml ,발베니,3484.2,5286413,700,755202,2970000,700,424286,로랜드 주류상회,발베니 30년(구형),,2970000,데일리샷,N,-2316413,N,-78.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5188629
산토리 월드 위스키 아오 700ml,산토리,72.2,109546,700,15649,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5176108
와일드터키 LONGBRANCH 1000ml,와일드터키,30.74,46640,1000,4664,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5173188
더 글렌그란트 10년 1000ml,더 글렌그란트,49.6,75256,1000,7526,44900,700,6414,비하우스 강남,더 글렌그란트 10년,,44900,데일리샷,N,-30356,N,-17.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5173311
짐빔 바질 하이든 700ml,짐빔,24.94,37840,700,5406,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5169530
탐나불린 올로로소 1000ml,탐나불린,23.85,36186,1000,3619,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5166853
달모어 30년 700ml,달모어,5890.0,8936620,700,1276660,14800000,700,2114286,이마트24 신월스타점,달모어 30년 2024,,14800000,데일리샷,Y,5863380,Y,39.6,Y,https://www.shilladfs.com/estore/kr/ko/p/5166852
주라 21년 타임 700ml,주라,163.5,248071,700,35439,330000,700,47143,가자주류 구월본점,주라 21년 Tide & Time,,330000,데일리샷,Y,81929,Y,24.8,N,https://www.shilladfs.com/estore/kr/ko/p/5166847
주라 더 팹스 700ml,주라,118.8,180250,700,25750,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5166844
주라 더 베이  1000ml,주라,41.65,63194,1000,6319,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5166842
주라 더 사운드 1000ml,주라,29.9,45366,1000,4537,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5166841
달모어 40년 700ML,달모어,14440.0,21909134,700,3129876,31500000,700,4500000,로랜드 주류상회,달모어 40년 2022 리미티드 에디션,,31500000,데일리샷,Y,9590866,Y,30.4,N,https://www.shilladfs.com/estore/kr/ko/p/5166839
펀다도르 18년 1000ml,펀다도르,190.0,288278,1000,28828,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5166837
섀클턴 1000ml,섀클턴,55.1,83601,1000,8360,34900,700,4986,현대그린마트 병점,섀클턴,,34900,데일리샷,N,-48701,N,-67.7,Y,https://www.shilladfs.com/estore/kr/ko/p/5166834
보모어 15년 골든앤엘레강트 1000ml,보모어,99.75,151346,1000,15135,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5166833
오켄토션 다크 오크 1000ml,오켄토션,72.9,110608,1000,11061,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5166758
우미키 750ml,우미키,58.4,88608,750,11814,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157343
주라 1993 700ml,주라,893.0,1354907,700,193558,35000,700,5000,주류상회Be 동탄호수공원점,주라 레드 와인 캐스크 에디션,,35000,데일리샷,N,-1319907,N,-3771.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5125161
달모어 트리오 1000ml,달모어,99.75,151346,1000,15135,205000,1000,20500,세노야 세계주류,달모어 트리오 1L,,205000,데일리샷,Y,53654,Y,26.2,N,https://www.shilladfs.com/estore/kr/ko/p/5125160
에버펠디 16년 1000ml,듀어스,139.65,211884,1000,21188,,,,,,75800,75800,보유DB,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5102010
올트모어 12년 1000ml,올트모어,78.0,118346,1000,11835,73500,700,10500,마포 글로벌 마트,올트모어 12년,,73500,데일리샷,N,-44846,N,-12.7,N,https://www.shilladfs.com/estore/kr/ko/p/5102008
잭다니엘 보틀 인 본드 1000ml,잭다니엘,36.1,54773,1000,5477,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5088304
쿨일라 12년 750ml,쿨일라,97.85,148463,750,19795,77900,700,11129,슈어와인낫,쿨일라 12년,,77900,데일리샷,N,-70563,N,-77.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5082284
몰트락 20년 750ml,몰트락,261.25,396382,750,52851,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5082283
글렌리벳 TGL TCM DR 1000ml,글렌리벳,59.85,90808,1000,9081,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5081233
Scapa Glansa 700ml,글렌리벳,61.75,93690,700,13384,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5081228
시바스리갈 XV 1000ml,시바스리갈,40.18,60963,1000,6096,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5076120
달모어 시가 몰트 1000ml,달모어,164.7,249892,1000,24989,205000,700,29286,캐스크앤뀌베 장안점,[지금바로 24시간 픽업가능] 달모어 시가 몰트 리저브,,205000,데일리샷,N,-44892,Y,14.7,N,https://www.shilladfs.com/estore/kr/ko/p/5070717
BUSHMILLS BOURBON CASK / Single Malt Whisky,호세쿠엘보,18.24,27675,700,3954,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5070799
글렌데브론 16년 1000ml,글렌데브론,85.5,129725,1000,12972,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5070792
에버펠디 12년 1000ml,에버펠디,70.3,106663,1000,10666,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5070789
듀어스 18년 1000ml,듀어스,100.7,152787,1000,15279,99000,700,14143,블루하우스,듀어스 18년,99800,99000,데일리샷,N,-53787,N,-8.0,N,https://www.shilladfs.com/estore/kr/ko/p/5070787
듀어스 12년 1000ml,듀어스,49.4,74952,1000,7495,38800,700,5543,만준이네,듀어스 12년 700ml,34980,34980,보유DB,N,-36152,N,-35.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5070785
시바스리갈 Icon 700ml,시바스리갈,2741.9,4160156,700,594308,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5070402
시바스리갈 12년 1000ml,시바스리갈,45.6,69187,1000,6919,49900,750,6653,위스키파크 안양인덕원점,시바스 리갈 12년 750ml,63900,49900,데일리샷,N,-19287,N,-4.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5070399
발렌타인 23년 GLENTAUCHERS 700ml,발렌타인,183.4,278264,700,39752,299000,700,42714,넘버원위스키,발렌타인 23년,,299000,데일리샷,Y,20736,Y,6.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5068900
시크릿 스페이사이드 Longmorn 23년 700ml,글렌리벳,275.5,418003,700,59715,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5065827
달모어 12년 1000ml,달모어,81.9,124263,1000,12426,99800,700,14257,보틀벙커 잠실점,달모어 12년 메탈 케이스,99000,99000,보유DB,N,-24463,Y,12.8,N,https://www.shilladfs.com/estore/kr/ko/p/3612922
보모어 10년 다크앤인텐스 1000ml,보모어,62.1,94221,1000,9422,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/3331486
달모어 15년 1000ml,달모어,174.8,265216,1000,26522,186000,700,26571,더 몰트샵 역삼점,달모어 15년,,186000,데일리샷,N,-79216,Y,0.2,N,https://www.shilladfs.com/estore/kr/ko/p/3331485
