위스키명,증류소,지역,도수,캐스크,맛_노트,스토리,출처,수집일
로크로몬드 14년 Inchmoan 1000ml,로크로몬드 (Loch Lomond),하이랜드,ABV 미확정 — 인치모안 14년 트래블리테일 익스클루시브의 정확한 도수는 공식 페이지에서 명시 확인 못함. 동 라인 인치모안 12년 정본이 46%(논칠필터)이고 로크로몬드 트래블리테일 보틀이 통상 46%인 점이 근거(추정 46%),"리차드(recharred) 아메리칸 오크 캐스크 숙성, 피티드(peated)","스완넥 포트스틸과 직선목 포트스틸 원액을 결합해 만든 비정형 피트 캐릭터로, 스모크와 스파이시함이 어우러진다. 리차드 오크에서 온 달콤한 바닐라 배경이 부드러운 연기를 받쳐 준다.","인치모안은 로크로몬드의 피티드(훈연) 싱글몰트 시리즈로, 로크로몬드 호수의 섬 이름에서 따왔다. 14년 표기는 글로벌 트래블리테일 전용 익스클루시브로 출시되었으며, 정규 라인의 12년보다 한 단계 위 숙성이다. 로크로몬드 특유의 과실 하우스 스타일에 훈연을 더한 것이 특징이다.","lochlomondwhiskies.com(Global Travel Retail / Inchmoan 12 Year Old), thewhiskyexchange.com, masterofmalt.com (2026-06-09 리서치)",2026-06-09
로크로몬드 45년 700ml,로크로몬드 (Loch Lomond),하이랜드,"42.2% (논칠필터, lochlomondwhiskies.com·whiskyshop.com·thewhiskyexchange.com 일치)",아메리칸 오크 숙성 후 퍼스트필 올로로소 셰리 캐스크에서 1년 피니시,코에서 오렌지 블로섬·인동꽃의 플로럴. 입에서는 달콤한 꿀에 멜론·키위·라임 시트러스의 강렬한 트로피컬 과일이 이어진다.,"1973년 증류된 원액으로, 로크로몬드의 독특한 직선목(straight neck) 포트스틸을 조명하기 위해 만든 'The Remarkable Stills' 시리즈의 첫 번째 릴리스다. 단 200병만 개별 넘버링되어 출시된 로크로몬드 최희귀 익스프레션 중 하나이며, 출시가가 £3,450 수준이었다.","lochlomondwhiskies.com(Remarkable Stills 45YO), whiskyshop.com, thewhiskyexchange.com, thewhiskeywash.com (2026-06-09 리서치)",2026-06-09
로크로몬드 47년 700ml,로크로몬드 (Loch Lomond),하이랜드,44.3% (bbr.com·masterofmalt.com·lochlomondwhiskies.com 일치),리필 아메리칸 오크 숙성(43년) 후 세컨드필 올로로소 셰리 캐스크 피니시,"코에서 토피·오렌지·풋사과에 장미의 플로럴, 이어 건포도·시나몬·너트맥. 입은 벨벳 같은 질감에 캐러멜·바닐라와 풋사과·멜론·키위 과일, 피니시에 커피·장미·설타나·너트맥.","1974년 증류된 100% 언피티드 원액으로, 직선목 포트스틸을 기리는 'The Remarkable Stills' 시리즈의 세 번째이자 마지막 릴리스다. 스틸에서 영감을 받은 구리 중심부의 수제 오크 박스에 담겨 단 200병만 출시되었으며, 출시가는 £5,750 수준이었다.","lochlomondwhiskies.com(Remarkable Stills 47YO), bbr.com, masterofmalt.com, thespiritsbusiness.com (2026-06-09 리서치)",2026-06-09
글렌킨치 27년 SR FY24 700ml(2023 Special Release),글렌킨치 (Glenkinchie),로우랜드,58.3% (캐스크 스트렝스; whiskyadvocate.com·masterofmalt.com·divingforpearls 일치),리필 아메리칸·유러피언 오크 배럴 및 벗(butt) 혼합 숙성,엘더플라워(딱총나무꽃)의 우아한 향에 쿠키 도우·시럽에 절인 복숭아·구운 아몬드. 오크 스파이스가 과수원 과일·시트러스 사이를 뚫고 올라오며 달콤한 바닐라가 받친다. 길고 섬세하게 플로럴한 피니시.,"글렌킨치는 에든버러 인근의 로우랜드 증류소로 가볍고 꽃향이 강한 '에든버러 몰트'로 불린다. 이 27년은 디아지오 2023 스페셜 릴리시즈('Spirited Xchange' 테마)의 한 병으로 'The Floral Treasure'라는 이름이 붙었고, 단 500병만 출시된 희귀 보틀이다.","whiskyadvocate.com, masterofmalt.com, whiskymonkeys.com, divingforpearlsblog.com (2026-06-09 리서치)",2026-06-09
오반 11년 SR FY24 700ml (2023 Special Release),오반 (Oban),하이랜드 (서부 해안),58% (royalmilewhiskies·milroysofsoho·masterofmalt 등 다수 일치; 일부 리뷰는 57.5%로 표기),캐리비안 팟스틸 럼 캐스크 피니시,코에서 초콜릿 아이스크림·말린 망고·진저브레드·스파이스드 애플 처트니. 입에서는 바닐라·오렌지 젤리·시나몬·트로피컬 과일 주스. 피니시는 베이킹 스파이스와 캐러멜이 길게 남는다.,"오반은 1794년 설립된 스코틀랜드 서부 해안의 소규모 증류소로, 해양성·과실 캐릭터의 하이랜드 몰트를 만든다. 이 11년은 디아지오 2023 스페셜 릴리시즈의 한 병으로 'The Soul of Calypso'라는 이름이 붙었으며, 캐리비안 럼 캐스크 피니시로 오반 특유의 해안·과실 풍미와 럼의 트로피컬함을 결합했다.","royalmilewhiskies.com, milroysofsoho.com, masterofmalt.com, scotchandsheen.com (2026-06-09 리서치)",2026-06-09
탈리스커 SR FY24 700ml (2023 Special Release),탈리스커 (Talisker),스카이섬,59.7% (캐스크 스트렝스; whiskyadvocate.com·whiskybase.com·distiller.com 일치),"화이트·토니(Tawny)·루비 포트 캐스크 피니시 (NAS, 숙성연수 미표기)",탈리스커 특유의 해안 훈연·후추 향에 포트 피니시에서 온 붉은 베리·건과일의 단맛이 겹친다. 강렬한 캐스크 스트렝스 바디에 스파이시한 페퍼리 피니시가 길게 이어진다. (포트 트리오 피니시 NAS 보틀),"이 보틀은 디아지오 2023 스페셜 릴리시즈의 탈리스커 'The Wild Explorador'로, 숙성연수 미표기(NAS) 익스프레션이다. 스카이섬 탈리스커 증류소의 후추향·해양성 스피릿을 화이트·토니·루비 세 가지 포트 캐스크에서 피니시해 단맛과 과실미를 더했다. 2023 컬렉션의 'Spirited Xchange' 테마(전 세계 풍미 교류)를 대표하는 병 중 하나다.","whiskyadvocate.com, whiskybase.com, distiller.com, scotchandsheen.com, thecentralwhisky.com (2026-06-09 리서치)",2026-06-09
시바스리갈 Ultis XX 1000ml,시바스 브라더스(스트라스아일라 등),스코틀랜드 스페이사이드,40%,아메리칸·유러피언 오크 캐스크,"꽃향과 함께 잘 익은 복숭아·붉은 사과, 딸기잼, 계피와 꿀이 피어오른다. 입에서는 밀크초콜릿과 클레멘타인·오렌지·복숭아가 부드러운 카라멜·정향 위로 퍼지고, 피니시는 헤더향과 몰티함으로 길게 마무리된다.","시바스 리갈 최초의 블렌디드 몰트(그레인 위스키 무첨가)로, 알타베인·브레이발·롱몬·스트라스아일라·토모어 등 시바스의 심장이 되는 단일 증류소 몰트만을 결혼시켜 만든다. 시바스의 다섯 마스터 블렌더에게 헌정하는 프리미엄 라인.",The Dramble·Caskers·Whisky Monster (2026-06-09 리서치),2026-06-09
시바스 리갈 18년 포이약 와인 캐스크 피니시 700ml,시바스 브라더스,스코틀랜드 스페이사이드,48%,18년 숙성 후 프랑스 포이약(보르도) 와인 캐스크 풀 피니시,"잘 익은 라즈베리 쿨리와 신선한 바닐라 향. 입에서는 수제 블랙커런트잼, 레몬커드, 스파이스 자두, 졸인 배가 펼쳐지고, 길고 달콤하면서도 복합적인 스파이시한 여운으로 마무리된다.","마스터 블렌더 샌디 하이슬롭이 18년 숙성 블렌드를 보르도 포이약 지역의 프리미엄 와인 캐스크에서 추가 숙성한 울티밋 캐스크 컬렉션. 글로벌 트래블 리테일(면세) 전용 출시 제품이다(국내 표기 700ml, GTR는 1L 병행).",The Whiskey Wash·Moodie Davitt·HTFW (2026-06-09 리서치),2026-06-09
시바스리갈 18년 200ml,시바스 브라더스,스코틀랜드 스페이사이드,40%,아메리칸·유러피언 오크(셰리·버번) 캐스크 숙성,"오렌지필, 몰트 보리, 바닐라 퍼지와 약간의 스파이스가 균형 잡힌 향. 입에서는 마멀레이드와 다크초콜릿, 약간의 오크가 미디엄 바디로 퍼지고, 오크에서 오는 잘 균형 잡힌 스파이스가 길게 이어진다.","마스터 블렌더 콜린 스콧이 스코틀랜드 전역의 20여 종 싱글몰트를 블렌딩해 만든 18년 골드 시그니처. 한 모금에 85가지 풍미가 담겼다고 알려진 프리미엄 블렌디드 스카치로, 본 제품은 동일 원액의 200ml 소용량 병이다.",Chivas 공식·Spirits Review·Wine Enthusiast (2026-06-09 리서치),2026-06-09
시바스리갈 18년산 700ml,시바스 브라더스,스코틀랜드 스페이사이드,40%,아메리칸·유러피언 오크(셰리·버번) 캐스크 숙성,"오렌지필, 몰트 보리, 바닐라 퍼지에 약간의 스파이스가 어우러진 향. 입에서는 마멀레이드·다크초콜릿·은은한 오크가 미디엄 바디로 펼쳐지며, 오크 스파이스가 잘 균형 잡힌 긴 여운을 남긴다.","마스터 블렌더 콜린 스콧이 20여 종 싱글몰트를 블렌딩한 18년 골드 시그니처 표준 보틀링. 한 모금에 85가지 풍미가 담겼다는 시바스의 대표 프리미엄 블렌디드 스카치로 IWSC 트로피 등 수상 이력이 있다.",Chivas 공식·Spirits Review·Caskers (2026-06-09 리서치),2026-06-09
시바스리갈 13년 Rum Cask 1000ml,시바스 브라더스,스코틀랜드 스페이사이드,40%,13년 숙성 후 카리브해 럼 캐스크에서 셀렉티브 피니시,"잘 익은 바나나, 카라멜라이즈드 파인애플, 바닐라에 오크·스파이스 힌트가 더해진 향. 입에서는 잘 익은 파인애플·다크 몰라세스·열대 과일 단맛이 계피와 따뜻한 스파이스로 균형을 이루고, 망고·버터스카치·코코넛의 여운이 이어진다.","시바스의 꿀처럼 부드러운 스페이사이드 블렌드 일부를 럼 캐스크에서 추가 숙성해 열대 과일 풍미를 입힌 익스트라 13 럼 캐스크 셀렉션. 면세·트래블 리테일에서 자주 보이는 1L 병 사양.",Whisky Magazine·Chivas 공식·Whisky Advocate (2026-06-09 리서치),2026-06-09
시바스리갈 XV 1000ml,시바스 브라더스,스코틀랜드 스페이사이드,40%,15년 숙성 후 그랑드 샹파뉴 코냑 캐스크 셀렉티브 피니시,"꿀에 졸인 사과와 잘 익은 복숭아, 계피와 백후추, 구운 마시멜로 향. 입에서는 버터스카치와 시럽 입힌 구운 사과, 흑설탕·토피·초콜릿 가나슈가 풍성하게 펼쳐지고, 바닐라와 잘 익은 배의 미디엄롱 피니시로 마무리된다.","시바스 15년 블렌드를 코냑(그랑드 샹파뉴) 캐스크에서 추가 숙성한 XV. 디저트처럼 풍성하고 달콤한 프로파일로 면세·트래블 리테일에서 인기가 높은 1L 사양이다.",Drinkhacker·Master of Malt·Flaviar (2026-06-09 리서치),2026-06-09
시바스리갈 엑스트라 셰리 캐스크 셀렉션 1000ml,시바스 브라더스,스코틀랜드 스페이사이드,40%,올로로소 셰리 캐스크 숙성(익스트라 13),"잘 익은 배·멜론, 크리미한 토피, 밀크초콜릿, 계피와 생강 힌트의 과일 향. 입에서는 시럽에 졸인 배, 크랜베리·라즈베리 같은 붉은 베리, 계피 사과파이, 토피소스와 바닐라 아이스크림이 부드럽게 퍼지고, 가죽 같은 드라이함이 도는 미디엄 단맛 피니시로 끝난다.","시바스 익스트라 13을 올로로소 셰리 캐스크에서 숙성해 깊은 향과 풍부한 과일·단맛을 끌어낸 셰리 캐스크 셀렉션. 면세·트래블 리테일에서 흔히 보이는 1L 병.",Whisky Magazine·Chivas 공식·Distiller (2026-06-09 리서치),2026-06-09
발렌타인 10년 1000ml,발렌타인(시바스 브라더스),스코틀랜드(블렌디드 스카치),40%,주로 버번·셰리 오크 캐스크 숙성,"오크와 바닐라 힌트가 어우러진 달콤한 꿀 향. 입에서는 복합적인 꿀과 플로럴 풍미에 크리미한 오크 단맛, 토피·구운 견과·잘 익은 과수원 과일이 더해지고, 계피·정향의 힌트가 있는 길고 상쾌한 단맛 피니시로 마무리된다.","1910년대 레시피를 잇는 발렌타인의 숙성 연수 표기 블렌드로, 다수의 몰트·그레인 위스키를 결혼시켜 만든다. 트래블 리테일·아시아 시장에서 흔히 보이는 1L 사양.",Ballantine's 공식·Whiskybase·Dear WHISKY (2026-06-09 리서치),2026-06-09
발렌타인 15년 GLENBURGIE 700ml,글렌버기 증류소,스코틀랜드 스페이사이드,40%,주로 버번(아메리칸 오크) 캐스크 숙성,"골든시럽·청포도·풋사과에 몰트와 마지팬, 붉은 사과·배·복숭아, 꿀과 신선한 베리가 어우러진 과일·플로럴 향. 입에서는 바닐라 캔디·카라멜·오렌지에 약간의 스파이스와 생강이 더해지고, 짧지만 강렬하고 달콤한 과일 여운이 남는다.","발렌타인 블렌드의 심장이 되는 글렌버기 증류소 원액을 단일 몰트로 병입한 '발렌타인 시리즈 No.001'의 15년 표현. 평소 블렌드에 숨어 있던 글렌버기 싱글몰트의 개성을 보여주는 라인업이다.",Ballantine's 공식·Master of Malt·Words of Whisky (2026-06-09 리서치),2026-06-09
발렌타인 18년 GLENBURGIE 700ml,글렌버기 증류소,스코틀랜드 스페이사이드,40%,주로 버번(아메리칸 오크) 캐스크 숙성,"부드러운 붉은 사과와 붉은 베리, 허니콤 캔디 단맛이 빼어나게 균형 잡힌 향. 입에서는 과일 단맛의 오렌지와 달콤한 블랙커런트가 꿀처럼 벨벳 같은 질감으로 퍼지고, 버터스카치 힌트에서 풍부한 스파이스와 과일 풍미로 발전하는 크리미한 여운을 남긴다.","발렌타인 시리즈 싱글몰트 라인업의 18년 표현으로, 발렌타인 블렌드의 핵심 원액인 글렌버기 증류소(스페이사이드) 싱글몰트를 병입한 것. 전통적으로 버번 캐스크에서 숙성된다.",Ballantine's 공식·The Whisky Exchange·IWSC (2026-06-09 리서치),2026-06-09
발렌타인 FINEST 1000ml,발렌타인(시바스 브라더스),스코틀랜드(블렌디드 스카치),40%,버번·셰리 오크 등 블렌딩 캐스크 숙성,"약간의 스파이스가 깃든 부드럽고 우아한 헤더 꿀 향. 입에서는 밀크초콜릿·붉은 사과·바닐라의 균형 잡힌 은은한 풍미가 라운드하게 퍼지고, 신선한 플로럴함이 도는 세련된 둥근 여운으로 마무리된다.","1910년 발렌타인 가문이 만든 현행 라인업 중 가장 오래된 레시피로, 40종이 넘는 몰트·그레인을 블렌딩한다. 세계적으로 가장 널리 팔리는 블렌디드 스카치 중 하나이며 본 제품은 1L 사양.",Ballantine's 공식·Spec's·Whisky of the Week (2026-06-09 리서치),2026-06-09
The Deacon 1L,더 디콘(아일라·스페이사이드 블렌드),스코틀랜드(블렌디드 몰트 스카치),40%,오크 캐스크 숙성(아일라 피티드 몰트 + 스페이사이드 몰트 블렌딩),"모닥불 잔불·그을린 나무·은은한 해풍 짠맛의 강한 스모키 향에 토피·바닐라·시트러스 단맛이 비친다. 입에서는 달콤한 몰트와 가벼운 스파이스, 즙 많은 오렌지로 시작해 중반에 우디한 피트가 부드럽게 자리하고, 매끄럽고 달콤하면서 스모키한 여운으로 마무리된다.","아일라의 스모키함과 스페이사이드의 달콤함을 결합한 블렌디드 몰트 스카치로, 독특한 보틀 디자인으로 알려진 모던 브랜드. 표준 보틀링은 40%이며 일부 영국 시장 출시분은 43%로 표기되니 라벨 확인 권장.",The Whisky Scribe·The Whiskey Wash·LCBO (2026-06-09 리서치),2026-06-09
레드브레스트 18년 700ml,미들턴 증류소,아일랜드,46%,버번 배럴 + 올로로소·크림 셰리·루비 포트 캐스크,"잘 익은 블랙커런트·체리·말린 무화과의 베리 향에 헤이즐넛 초콜릿·구운 아몬드·계피, 견고한 오크와 가죽. 묵직하고 둥근 풍미에 오크 탄닌과 포도·가을 과일 단맛, 생강·감초의 향신료. 피니시는 풍부하고 길다.","아일랜드 싱글 팟 스틸(보리+맥아 혼합 증류)의 대표 브랜드. 18년은 버번 배럴 숙성 후 셰리·포트 캐스크에서 추가 숙성한 코어 라인업으로, 논칠필터·92프루프(46%)로 병입된다.",RedbreastWhiskey.com·Drinkhacker·TheWhiskeyWash (2026-06-09 리서치),2026-06-09
